PersonX always drank	xNeed	to get a drink
PersonX abandons ___ altogether	xNeed	Plows the field.
PersonX about to get married	xNeed	meet someone
PersonX accepts PersonY appointment	xNeed	to clear spot in schedule
PersonX accepts PersonY thanks	xNeed	to says thanks to Y
PersonX accepts PersonY's proposal	xNeed	to date
PersonX accidentally bumped	xNeed	run or drive fast
PersonX accidentally fell	xNeed	to walk too fast
PersonX accompanies PersonY far	xNeed	to walk with PersonY
PersonX accomplishes PersonX's goal	xNeed	to make a goal
